"id","slug","title","title_eng","link","year","description","releaseYear","rating","star","runtime","network","status","trailer","recommendationScore","__drizzlerowid__"
"1","kul-masali","Kül Masalı","The Ash Tale","
https://www.imdb.com/title/tt13443350/
","2022","A modern retelling of the Cinderella fairy tale set in Istanbul.","2022","7.5","7.8","60 min","Kanal D","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7.5","1"
"2","yali-capkini","Yalı Çapkını","The Bosphorus Playboy","
https://www.imdb.com/title/tt13443350/
","2021","A playboy who lives on the Bosphorus falls for a woman who is the complete opposite of him.","2021","6.5","6.9","120 min","Fox","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","6.5","2"
"3","zamani-kapilari","Zamanın Kapıları","The Doors of Time","
https://www.imdb.com/title/tt13443350/
","2021","A group of friends discover a door that allows them to travel through time.","2021","7.2","7.5","45 min","TRT1","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7.2","3"
"4","yalan","Yalan","Lie","
https://www.imdb.com/title/tt13443350/
","2022","A woman discovers her husband has been lying to her for years.","2022","7.8","8.1","60 min","Kanal D","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7.8","4"
"5","yaban-cicekleri","Yaban Çiçekleri","Wild Flowers","
https://www.imdb.com/title/tt13443350/
","2023","Four friends navigate life and love in Istanbul.","2023","8.0","8.3","90 min","Fox","Ongoing","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","8","5"
"6","yan-oda","Yan Oda","The Side Room","
https://www.imdb.com/title/tt13443350/
","2022","A woman rents a side room in her apartment to a mysterious stranger.","2022","7.5","7.8","60 min","Kanal D","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7.5","6"
"7","korkma-ben-yanindayim","Korkma Ben Yanındayım","Don't Be Afraid, I'm By Your Side","
https://www.imdb.com/title/tt13443350/
","2021","A woman with a troubled past finds solace in a new relationship.","2021","7.0","7.2","45 min","Kanal 7","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7","7"
"8","tas-kagit-makas","Taş Kağıt Makas","Rock Paper Scissors","
https://www.imdb.com/title/tt13443350/
","2022","Three friends navigate the ups and downs of their relationships.","2022","7.2","7.5","60 min","Kanal D","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7.2","8"
"9","mehmed-fetihler-sultani","Mehmed Fetihler Sultanı","Mehmed the Conqueror","
https://www.imdb.com/title/tt13443350/
","2018","A historical drama about the life of Ottoman Sultan Mehmed the Conqueror.","2018","8.2","8.5","120 min","TRT1","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","8.2","9"
"10","kara-agac-destani","Kara Ağaç Destanı","The Legend of the Black Tree","
https://www.imdb.com/title/tt13443350/
","2021","A family saga set in the rural countryside of Turkey.","2021","7.8","8","90 min","TRT1","Ended","
https://www.youtube.com/watch?v=aCLQZSqOXZA
","7.8","10"
"11","sen-cal-kapimi","Sen Çal Kapımı","You Knock On My Door","
https://www.imdb.com/title/tt12249596/
","2020","A woman who believes in love at first sight falls for a man who doesn't believe in love at all.","2020","TV-PG","8.1","135 min","Fox","Ended","
https://www.youtube.com/watch?v=Ij3Lc3vr7Ug
","7.4","11"
"12","senden-once","Senden Önce","Before You","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic drama about love and sacrifice.","2023","8.0","8.2","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","8","12"
"13","bahar","Bahar","Spring","https://www.imdb.com/title/ttXXXXXXX/","2022","A story of hope and renewal set in the spring.","2022","7.5","7.8","50 min","Star TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.5","13"
"14","gelin","Gelin","The Bride","https://www.imdb.com/title/ttXXXXXXX/","2021","A romantic tale of love and family.","2021","7.0","7.3","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7","14"
"15","bir-sevdadir","Bir Sevdadır","A Love Story","https://www.imdb.com/title/ttXXXXXXX/","2021","A heartfelt story of love and destiny.","2021","8.1","8.4","55 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","8.1","15"
"16","kopuk","Kopuk","The Broken","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about broken relationships and healing.","2022","7.2","7.5","60 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.2","16"
"17","inci-taneleri","İnci Taneleri","Pearls","https://www.imdb.com/title/ttXXXXXXX/","2023","A family drama about love and betrayal.","2023","8.0","8.3","70 min","Kanal 7","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","17"
"18","gaddar","Gaddar","The Ruthless","https://www.imdb.com/title/ttXXXXXXX/","2022","A thriller about revenge and justice.","2022","7.5","7.7","60 min","Star TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.5","18"
"19","aska-dusman","Aşka Düşman","Enemy of Love","https://www.imdb.com/title/ttXXXXXXX/","2023","A story of love that faces many challenges.","2023","7.8","8","55 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","19"
"20","ruzgarli-tepe","Rüzgarlı Tepe","Windy Hill","https://www.imdb.com/title/ttXXXXXXX/","2022","A gripping tale of survival and resilience.","2022","8.2","8.5","60 min","Fox","Ended","https://www.youtube.com/watch?v=XXXXXXX","8.2","20"
"21","yildizlar-bana-uzak","Yıldızlar Bana Uzak","Stars Are Far From Me","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic drama exploring distance and longing.","2023","7.9","8.1","50 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","21"
"22","arak","Arak","The Chase","https://www.imdb.com/title/ttXXXXXXX/","2022","A thrilling chase through the streets of Istanbul.","2022","7.4","7.6","60 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.4","22"
"23","kizil-goncalar","Kızıl Goncalar","Red Flowers","https://www.imdb.com/title/ttXXXXXXX/","2023","A story of love blooming in unexpected places.","2023","8.1","8.4","55 min","Kanal 7","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8.1","23"
"24","sandik-kokusu","Sandık Kokusu","The Smell of the Chest","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about family secrets and revelations.","2022","7.3","7.5","60 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.3","24"
"25","ne-gemiler-yaktim","Ne Gemiler Yaktım","What Ships I Burned","https://www.imdb.com/title/ttXXXXXXX/","2023","A poignant tale of loss and redemption.","2023","8.0","8.2","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","25"
"26","altin-kafes","Altın Kafes","The Golden Cage","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about love and betrayal in a wealthy family.","2022","7.4","7.6","60 min","Star TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.4","26"
"27","kudus-fatihi-selahaddin-eyyubi","Kudüs Fatihi Selahaddin Eyyubi","Saladin: Conqueror of Jerusalem","https://www.imdb.com/title/ttXXXXXXX/","2023","A historical drama about Saladin and the conquest of Jerusalem.","2023","8.1","8.3","120 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8.1","27"
"28","kod-adi-kirlangic","Kod Adı Kirlangıç","Codename: Swallow","https://www.imdb.com/title/ttXXXXXXX/","2022","A thrilling story of espionage and undercover operations.","2022","7.6","7.8","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.6","28"
"29","bir-derdim-var","Bir Derdim Var","I Have a Problem","https://www.imdb.com/title/ttXXXXXXX/","2021","A heartfelt story of personal struggles and relationships.","2021","7.3","7.5","55 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.3","29"
"30","sakla-beni","Sakla Beni","Hide Me","https://www.imdb.com/title/ttXXXXXXX/","2022","A suspenseful drama about secrets and hidden pasts.","2022","7.5","7.7","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.5","30"
"31","sahane-hayatim","Şahane Hayatım","My Wonderful Life","https://www.imdb.com/title/ttXXXXXXX/","2023","A comedic take on life’s ups and downs.","2023","8.0","8.2","50 min","Star TV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","31"
"32","kader-baglari","Kader Bağları","Fate Ties","https://www.imdb.com/title/ttXXXXXXX/","2022","A story about love intertwined with fate.","2022","7.4","7.6","60 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.4","32"
"33","kirli-sepeti","Kirli Sepeti","Dirty Basket","https://www.imdb.com/title/ttXXXXXXX/","2023","A dramatic exploration of family and secrets.","2023","7.5","7.8","55 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","33"
"34","hudutsuz-sevda","Hudutsuz Sevda","Boundless Love","https://www.imdb.com/title/ttXXXXXXX/","2022","A passionate love story that knows no boundaries.","2022","8.2","8.4","60 min","Star TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","8.2","34"
"35","yabani","Yabani","Wild","https://www.imdb.com/title/ttXXXXXXX/","2023","A story of survival and self-discovery in the wild.","2023","7.9","8.1","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","35"
"36","bambaska-biri","Bambaşka Biri","Someone Different","https://www.imdb.com/title/ttXXXXXXX/","2022","A unique story about identity and belonging.","2022","7.6","7.8","55 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.6","36"
"37","dilek-tasi","Dilek Taşı","Wish Stone","https://www.imdb.com/title/ttXXXXXXX/","2023","A magical tale about wishes and dreams.","2023","8.0","8.2","60 min","TRT1","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","37"
"38","safir","Safir","Sapphire","https://www.imdb.com/title/ttXXXXXXX/","2023","A gripping drama about love and betrayal.","2023","7.7","8","60 min","Kanal D","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.7","38"
"39","ruhun-duymaz","Ruhun Duymaz","Deaf to the Soul","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about a woman who loses her hearing and her journey to find her voice again.","2023","7.5","7.8","60 min","Fox","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.5","39"
"40","yaz-sarkisi","Yaz Şarkısı","Summer Song","https://www.imdb.com/title/ttXXXXXXX/","2022","A romantic drama set against the backdrop of a summer in Istanbul.","2022","7.2","7.4","55 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.2","40"
"41","hayatimin-nesesi","Hayatımın Neşesi","The Joy of My Life","https://www.imdb.com/title/ttXXXXXXX/","2021","A heartwarming comedy-drama about finding joy in life.","2021","7.8","8","50 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.8","41"
"42","ya-cok-seversen","Ya Çok Seversen","If You Love Too Much","https://www.imdb.com/title/ttXXXXXXX/","2022","A romantic drama about the consequences of loving too deeply.","2022","7.6","7.8","60 min","ATV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.6","42"
"43","donence","Dönence","Vortex","https://www.imdb.com/title/ttXXXXXXX/","2023","A sci-fi thriller about a group of people trapped in a time loop.","2023","7.9","8.1","60 min","Netflix","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.9","43"
"44","kendi-dusen-aglamaz","Kendi Düşen Ağlamaz","He Who Falls Doesn't Cry","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about a man who falls from grace and his journey to redemption.","2022","7.4","7.6","55 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.4","44"
"45","benim-guzel-ailem","Benim Güzel Ailem","My Beautiful Family","https://www.imdb.com/title/ttXXXXXXX/","2021","A comedy-drama about a quirky family navigating life together.","2021","7.7","7.9","50 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.7","45"
"46","uvey-anne","Üvey Anne","Stepmother","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about a woman who becomes a stepmother and the challenges she faces.","2022","7.5","7.7","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.5","46"
"47","vermem-seni-ellere","Vermem Seni Ellere","I Won't Give You Away","https://www.imdb.com/title/ttXXXXXXX/","2023","A romantic drama about a woman who refuses to let go of her love.","2023","8.0","8.2","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8","47"
"48","kismet","Kısmet","Destiny","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about the power of fate and destiny in people's lives.","2022","7.3","7.5","55 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.3","48"
"49","maviye-surgun","Maviye Sürgün","Exiled to Blue","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about a man who is exiled to a remote village and finds unexpected love.","2023","7.8","8","60 min","Fox","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","7.8","49"
"50","tetikcinin-oglu","Tetikçinin Oğlu","The Hitman's Son","https://www.imdb.com/title/ttXXXXXXX/","2022","An action-packed drama about a hitman and his son.","2022","7.6","7.8","60 min","Show TV","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.6","50"
"51","gulcemal","Gülcemal","Rose-Cheeked","https://www.imdb.com/title/ttXXXXXXX/","2021","A historical drama set in the Ottoman Empire.","2021","7.9","8.1","120 min","TRT1","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.9","51"
"52","yuz-yillik-mucize","Yüz Yıllık Mucize","A Hundred-Year Miracle","https://www.imdb.com/title/ttXXXXXXX/","2022","A drama about a family that experiences a miraculous event.","2022","7.7","7.9","60 min","Kanal D","Ended","https://www.youtube.com/watch?v=XXXXXXX","7.7","52"
"53","esaret","Esaret","Captivity","https://www.imdb.com/title/ttXXXXXXX/","2023","A drama about a woman who is held captive and her fight for freedom.","2023","8.1","8.3","60 min","ATV","Ongoing","https://www.youtube.com/watch?v=XXXXXXX","8.1","53"
